cvx_code,cpt_code,short_name
140,90656,Influenza IIV3 preservative free
113,90714,Td adult
208,91300,COVID-19 mRNA 30 mcg
207,91301,COVID-19 mRNA 100 mcg
212,91303,COVID-19 viral vector
20,90700,DTaP
133,90670,Pneumococcal conjugate PCV13
62,90649,HPV quadrivalent
114,90734,Meningococcal MCV4
10,90713,IPV
49,90647,Hib PRP-OMP
08,90744,Hep B pediatric/adolescent
121,90736,Zoster live
43,90746,Hep B adult
52,90632,Hep A adult
03,90707,MMR
21,90716,Varicella
83,90633,Hep A pediatric/adolescent 2 dose
119,90681,Rotavirus monovalent
115,90715,Tdap
33,90732,Pneumococcal polysaccharide PPSV23
187,90750,Zoster recombinant
