loinc_code,panel_code,panel_name,panel_cpt,component_short_name
2339-0,METABOLIC,BASIC METABOLIC PANEL,80048,GLUCOSE
2345-7,METABOLIC,BASIC METABOLIC PANEL,80048,GLUCOSE
6299-2,METABOLIC,BASIC METABOLIC PANEL,80048,BUN
3094-0,METABOLIC,BASIC METABOLIC PANEL,80048,BUN
38483-4,METABOLIC,BASIC METABOLIC PANEL,80048,CREATININE
2160-0,METABOLIC,BASIC METABOLIC PANEL,80048,CREATININE
49765-1,METABOLIC,BASIC METABOLIC PANEL,80048,CALCIUM
17861-6,METABOLIC,BASIC METABOLIC PANEL,80048,CALCIUM
2947-0,METABOLIC,BASIC METABOLIC PANEL,80048,SODIUM
2951-2,METABOLIC,BASIC METABOLIC PANEL,80048,SODIUM
6298-4,METABOLIC,BASIC METABOLIC PANEL,80048,POTASSIUM
2823-3,METABOLIC,BASIC METABOLIC PANEL,80048,POTASSIUM
2069-3,METABOLIC,BASIC METABOLIC PANEL,80048,CHLORIDE
2075-0,METABOLIC,BASIC METABOLIC PANEL,80048,CHLORIDE
20565-8,METABOLIC,BASIC METABOLIC PANEL,80048,CO2
2028-9,METABOLIC,BASIC METABOLIC PANEL,80048,CO2
33914-3,METABOLIC,BASIC METABOLIC PANEL,80048,EGFR
2885-2,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,TOTAL PROTEIN
1742-6,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,ALT
6768-6,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,ALKALINE PHOSPHATASE
1920-8,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,AST
1751-7,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,ALBUMIN
1975-2,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,BILIRUBIN TOTAL
10834-0,LIVER,COMPREHENSIVE METABOLIC PANEL,80053,GLOBULIN
718-7,CBC,CBC WITH DIFFERENTIAL,85025,HEMOGLOBIN
787-2,CBC,CBC WITH DIFFERENTIAL,85025,MCV
777-3,CBC,CBC WITH DIFFERENTIAL,85025,PLATELETS
786-4,CBC,CBC WITH DIFFERENTIAL,85025,MCHC
789-8,CBC,CBC WITH DIFFERENTIAL,85025,RBC
6690-2,CBC,CBC WITH DIFFERENTIAL,85025,WBC
788-0,CBC,CBC WITH DIFFERENTIAL,85025,RDW
785-6,CBC,CBC WITH DIFFERENTIAL,85025,MCH
4544-3,CBC,CBC WITH DIFFERENTIAL,85025,HEMATOCRIT
32207-3,CBC,CBC WITH DIFFERENTIAL,85025,PDW
32623-1,CBC,CBC WITH DIFFERENTIAL,85025,MPV
2085-9,LIPID,LIPID PANEL,80061,HDL CHOLESTEROL
2571-8,LIPID,LIPID PANEL,80061,TRIGLYCERIDES
2093-3,LIPID,LIPID PANEL,80061,CHOLESTEROL TOTAL
18262-6,LIPID,LIPID PANEL,80061,LDL CHOLESTEROL DIRECT
4548-4,A1C,HEMOGLOBIN A1C,83036,HEMOGLOBIN A1C
2514-8,UA,URINALYSIS WITH MICROSCOPY,81001,KETONES URINE
5799-2,UA,URINALYSIS WITH MICROSCOPY,81001,LEUKOCYTE ESTERASE URINE
5811-5,UA,URINALYSIS WITH MICROSCOPY,81001,SPECIFIC GRAVITY URINE
5802-4,UA,URINALYSIS WITH MICROSCOPY,81001,NITRITE URINE
5794-3,UA,URINALYSIS WITH MICROSCOPY,81001,BLOOD URINE
5803-2,UA,URINALYSIS WITH MICROSCOPY,81001,PH URINE
5804-0,UA,URINALYSIS WITH MICROSCOPY,81001,PROTEIN URINE
5792-7,UA,URINALYSIS WITH MICROSCOPY,81001,GLUCOSE URINE
5770-3,UA,URINALYSIS WITH MICROSCOPY,81001,BILIRUBIN URINE
20454-5,UA,URINALYSIS WITH MICROSCOPY,81001,PROTEIN PRESENCE URINE
25428-4,UA,URINALYSIS WITH MICROSCOPY,81001,GLUCOSE PRESENCE URINE
5767-9,UA,URINALYSIS WITH MICROSCOPY,81001,APPEARANCE URINE
20505-4,UA,URINALYSIS WITH MICROSCOPY,81001,BILIRUBIN QUANT URINE
5797-6,UA,URINALYSIS WITH MICROSCOPY,81001,KETONES QUANT URINE
32167-9,UA,URINALYSIS WITH MICROSCOPY,81001,CLARITY URINE
5778-6,UA,URINALYSIS WITH MICROSCOPY,81001,COLOR URINE
34533-0,UA,URINALYSIS WITH MICROSCOPY,81001,ODOR URINE
14959-1,MICROALB,MICROALBUMIN/CREATININE RATIO URINE,82043,MICROALBUMIN/CREATININE
19123-9,MG,MAGNESIUM,83735,MAGNESIUM
89579-7,TROPONIN,TROPONIN I HIGH SENSITIVITY,84484,TROPONIN I HS
2276-4,FERRITIN,FERRITIN,82728,FERRITIN
2498-4,IRON,IRON AND TIBC,83540,IRON
2502-3,IRON,IRON AND TIBC,83540,IRON SATURATION
2500-7,IRON,IRON AND TIBC,83540,TIBC
6301-6,COAG,PROTIME-INR,85610,INR
5902-2,COAG,PROTIME-INR,85610,PROTHROMBIN TIME
2703-7,ABG,ARTERIAL BLOOD GAS,82803,PO2 ARTERIAL
2019-8,ABG,ARTERIAL BLOOD GAS,82803,PCO2 ARTERIAL
2744-1,ABG,ARTERIAL BLOOD GAS,82803,PH ARTERIAL
1960-4,ABG,ARTERIAL BLOOD GAS,82803,BICARBONATE ARTERIAL
33762-6,BNP,NT-PROBNP,83880,NT-PROBNP
