loinc_code,reference_low,reference_high,critical_low,critical_high,units
33914-3,60,,15,,mL/min/1.73m2
6299-2,7,20,,100,mg/dL
3094-0,7,20,,100,mg/dL
2947-0,135,145,120,160,mmol/L
2951-2,135,145,120,160,mmol/L
49765-1,8.5,10.5,6.0,13.0,mg/dL
17861-6,8.5,10.5,6.0,13.0,mg/dL
2069-3,98,107,,,mmol/L
2075-0,98,107,,,mmol/L
20565-8,22,29,10,40,mmol/L
2028-9,22,29,10,40,mmol/L
6298-4,3.5,5.1,2.8,6.2,mmol/L
2823-3,3.5,5.1,2.8,6.2,mmol/L
2339-0,70,99,40,500,mg/dL
2345-7,70,99,40,500,mg/dL
38483-4,0.6,1.3,,10,mg/dL
2160-0,0.6,1.3,,10,mg/dL
4548-4,4.0,5.6,,,%
2514-8,,0,,,presence
5799-2,,0,,,presence
5802-4,,0,,,presence
5794-3,,0,,,presence
5770-3,,0,,,presence
20454-5,,0,,,presence
25428-4,,0,,,presence
5803-2,5.0,8.0,,,pH
2085-9,40,,,,mg/dL
2571-8,,150,,1000,mg/dL
2093-3,,200,,,mg/dL
18262-6,,100,,,mg/dL
718-7,12.0,17.5,7.0,20.0,g/dL
787-2,80,100,,,fL
777-3,150,400,50,1000,10*3/uL
786-4,32,36,,,g/dL
789-8,4.2,5.9,,,10*6/uL
6690-2,4.0,11.0,1.5,30.0,10*3/uL
785-6,27,33,,,pg
4544-3,36,52,20,60,%
32207-3,9,17,,,fL
32623-1,7.5,11.5,,,fL
2885-2,6.0,8.3,,,g/dL
1742-6,7,56,,,U/L
6768-6,44,147,,,U/L
1920-8,10,40,,,U/L
1751-7,3.5,5.0,,,g/dL
1975-2,0.1,1.2,,15,mg/dL
14959-1,,30,,,mg/g
19123-9,1.7,2.2,1.0,4.0,mg/dL
89579-7,,14,,,pg/mL
2276-4,24,336,,,ug/L
6301-6,0.8,1.2,,5.0,INR
5902-2,11.0,13.5,,,s
2703-7,75,100,55,,mm[Hg]
2019-8,35,45,20,70,mm[Hg]
2744-1,7.35,7.45,7.20,7.60,pH
1960-4,22,26,10,40,mmol/L
2498-4,60,170,,,ug/dL
2502-3,20,50,,,%
2500-7,240,450,,,ug/dL
33762-6,,125,,,pg/mL
