snomed_code,cpt_hcpcs,code_system,service_category,revenue_code,billable_yn,map_quality
171207006,96127,CPT,screening,0510,Y,close
710824005,G0136,HCPCS,screening,0510,Y,close
265764009,90935,CPT,dialysis,0821,Y,exact
430193006,1111F,CPT_II,quality,0510,N,close
428211000124100,99408,CPT,screening,0510,Y,close
103697008,,NONE,nonbillable,,N,none
34043003,D9310,CDT,dental,,Y,close
243085009,D1330,CDT,dental,,Y,exact
225362009,D0120,CDT,dental,,Y,approximate
274788003,D0180,CDT,dental,,Y,close
1260009003,D1110,CDT,dental,,Y,exact
1260010008,D4355,CDT,dental,,Y,close
710841007,96127,CPT,screening,0510,Y,close
410401003,G0299,HCPCS,nursing,0551,Y,approximate
241046008,D0274,CDT,dental,,Y,close
385763009,Q5001,HCPCS,hospice,0651,Y,close
763302001,G0442,HCPCS,screening,0510,Y,exact
713106006,H0049,HCPCS,screening,0510,Y,close
68071007,D1206,CDT,dental,,Y,close
866148006,96160,CPT,screening,0510,Y,approximate
274804006,,NONE,nonbillable,,N,none
225158009,,NONE,nonbillable,,N,none
180256009,95117,CPT,medicine,0510,Y,close
762993000,1100F,CPT_II,quality,0510,N,close
703423002,96413,CPT,oncology,0335,Y,approximate
52052004,97110,CPT,therapy,0420,Y,approximate
715252007,96127,CPT,screening,0510,Y,exact
76601001,96372,CPT,medicine,0510,Y,exact
398171003,92551,CPT,medicine,0470,Y,close
456191000124101,D9430,CDT,dental,,Y,approximate
81733005,D7210,CDT,dental,,Y,approximate
3802001,D9910,CDT,dental,,Y,exact
868187001,96127,CPT,screening,0510,Y,approximate
64544008,D4212,CDT,dental,,Y,close
409023009,,NONE,nonbillable,,N,none
5880005,,NONE,nonbillable,,N,none
55468007,,NONE,bundled,,N,none
389153003,92020,CPT,medicine,0510,Y,exact
252832004,,NONE,bundled,,N,none
722161008,2022F,CPT_II,quality,0510,N,close
314971001,92250,CPT,medicine,0510,Y,exact
16830007,99173,CPT,screening,0510,Y,close
