snomed_code,snomed_description,icd10cm_code,condition_class,cohort,charlson_category,chronic_yn,sdoh_domain,map_quality
66383009,Gingivitis,K05.10,diagnosis,,,N,,close
444814009,Viral sinusitis,J01.90,diagnosis,,,N,,close
18718003,Gingival disease,K06.9,diagnosis,,,N,,exact
109570002,Primary dental caries,K02.9,diagnosis,,,N,,close
195662009,Acute viral pharyngitis,J02.8,diagnosis,,,N,,close
10509002,Acute bronchitis,J20.9,diagnosis,,,N,,exact
271737000,Anemia,D64.9,diagnosis,,,N,,exact
59621000,Essential hypertension,I10,diagnosis,HTN,,Y,,exact
40055000,Chronic sinusitis,J32.9,diagnosis,,,Y,,exact
427898007,Infection of tooth,K04.7,diagnosis,,,N,,approximate
414545008,Ischemic heart disease,I25.9,diagnosis,IHD,,Y,,close
65363002,Otitis media,H66.90,diagnosis,,,N,,exact
125605004,Fracture of bone,T14.8XXA,diagnosis,,,N,,approximate
43878008,Streptococcal sore throat,J02.0,diagnosis,,,N,,exact
384709000,Sprain,T14.8XXA,diagnosis,,,N,,approximate
237602007,Metabolic syndrome X,E88.810,diagnosis,,,Y,,exact
1149222004,Overdose,T50.901A,diagnosis,,,N,,close
312608009,Laceration - injury,T14.8XXA,diagnosis,,,N,,approximate
37320007,Loss of teeth,K08.409,diagnosis,,,Y,,close
307426000,Acute infective cystitis,N30.00,diagnosis,,,N,,exact
55822004,Hyperlipidemia,E78.5,diagnosis,,,Y,,exact
840539006,COVID-19,U07.1,diagnosis,,,N,,exact
44465007,Sprain of ankle,S93.409A,diagnosis,,,N,,close
110030002,Concussion injury of brain,S06.0XAA,diagnosis,,,N,,close
127013003,Disorder of kidney due to diabetes mellitus,E11.29,diagnosis,DIABETES,diabetes_complicated,Y,,close
431855005,Chronic kidney disease stage 1,N18.1,diagnosis,CKD,renal,Y,,exact
90781000119102,Microalbuminuria due to type 2 diabetes mellitus,E11.29,diagnosis,DIABETES,diabetes_complicated,Y,,close
44054006,Diabetes mellitus type 2,E11.9,diagnosis,DIABETES,diabetes_uncomplicated,Y,,exact
302870006,Hypertriglyceridemia,E78.1,diagnosis,,,Y,,exact
68496003,Polyp of colon,K63.5,diagnosis,,,N,,exact
36971009,Sinusitis,J32.9,diagnosis,,,N,,approximate
62106007,Concussion with no loss of consciousness,S06.0X0A,diagnosis,,,N,,exact
431856006,Chronic kidney disease stage 2,N18.2,diagnosis,CKD,renal,Y,,exact
19169002,Miscarriage in first trimester,O03.9,diagnosis,,,N,,close
75498004,Acute bacterial sinusitis,J01.90,diagnosis,,,N,,close
70704007,Sprain of wrist,S63.509A,diagnosis,,,N,,close
197927001,Recurrent urinary tract infection,N39.0,diagnosis,,,N,,close
6525002,Dependent drug abuse,F19.20,diagnosis,SUD,,Y,,close
90460009,Injury of neck,S19.9XXA,diagnosis,,,N,,exact
239873007,Osteoarthritis of knee,M17.9,diagnosis,,,Y,,exact
39848009,Whiplash injury to neck,S13.4XXA,diagnosis,,,N,,exact
124171000119105,Chronic intractable migraine without aura,G43.719,diagnosis,,,Y,,exact
157141000119108,Proteinuria due to type 2 diabetes mellitus,E11.29,diagnosis,DIABETES,diabetes_complicated,Y,,close
196416002,Impacted molars,K01.1,diagnosis,,,N,,exact
61804006,Alveolitis of jaw,M27.3,diagnosis,,,N,,exact
195967001,Asthma,J45.909,diagnosis,ASTHMA,chronic_pulmonary,Y,,exact
128613002,Seizure disorder,G40.909,diagnosis,,,Y,,close
64859006,Osteoporosis,M81.0,diagnosis,,,Y,,close
39898005,Sleep disorder,G47.9,diagnosis,,,Y,,exact
48333001,Burn injury,T30.0,diagnosis,,,N,,approximate
80394007,Hyperglycemia,R73.9,diagnosis,,,N,,exact
433144002,Chronic kidney disease stage 3,N18.30,diagnosis,CKD,renal,Y,,exact
446654005,Refugee,Z60.3,sdoh,,,N,other_social,approximate
65966004,Fracture of forearm,S52.90XA,diagnosis,,,N,,exact
91302008,Sepsis,A41.9,diagnosis,SEPSIS,,N,,exact
156073000,Complete miscarriage,O03.9,diagnosis,,,N,,exact
58150001,Fracture of clavicle,S42.009A,diagnosis,,,N,,exact
263102004,Fracture subluxation of wrist,S62.109A,diagnosis,,,N,,close
78275009,Obstructive sleep apnea syndrome,G47.33,diagnosis,,,Y,,exact
284549007,Laceration of hand,S61.419A,diagnosis,,,N,,exact
16114001,Fracture of ankle,S82.899A,diagnosis,,,N,,close
84757009,Epilepsy,G40.909,diagnosis,,,Y,,exact
233678006,Childhood asthma,J45.909,diagnosis,ASTHMA,chronic_pulmonary,Y,,close
203646004,Adolescent idiopathic scoliosis,M41.129,diagnosis,,,Y,,exact
283371005,Laceration of forearm,S51.819A,diagnosis,,,N,,exact
370247008,Facial laceration,S01.81XA,diagnosis,,,N,,exact
88805009,Chronic congestive heart failure,I50.9,diagnosis,HF,chf,Y,,close
283385000,Laceration of thigh,S71.119A,diagnosis,,,N,,exact
203082005,Fibromyalgia,M79.7,diagnosis,,,Y,,exact
284551006,Laceration of foot,S91.319A,diagnosis,,,N,,exact
233604007,Pneumonia,J18.9,diagnosis,PNEUMONIA,,N,,exact
446096008,Perennial allergic rhinitis,J30.89,diagnosis,,,Y,,exact
26929004,Alzheimer's disease,G30.9,diagnosis,,dementia,Y,,exact
398254007,Pre-eclampsia,O14.90,diagnosis,,,N,,exact
